"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P0119-3","v",863.8783718,1799.879148,"P01","em","",53.122,151,NA,863.8783718,1799.879148,NA,"em",19,904.181777628592,1431.80632267978,904.181777628592,1431.80632267978
"P0120-1","v",790.991247,1717.129943,"P01","em","",53.122,151,NA,790.991247,1717.129943,NA,"em",20,850.496569551492,1393.94307212629,850.496569551492,1393.94307212629
"P0120-2","v",803.1312977,1731.036443,"P01","em","",53.122,151,NA,803.1312977,1731.036443,NA,"em",20,859.618093025365,1400.39598180216,859.618093025365,1400.39598180216
"P0120-3","v",817.8281006,1910.563044,"P01","em","",53.122,151,NA,817.8281006,1910.563044,NA,"em",20,870.562581765739,1480.53761733263,870.562581765739,1480.53761733263
"P0121-1","v",862.1032051,1598.367422,"P01","em","",53.122,151,NA,862.1032051,1598.367422,NA,"em",21,902.904260163826,1337.27247040717,902.904260163826,1337.27247040717
"P0121-2","v",865.3844632,1439.299431,"P01","em","",53.122,151,NA,865.3844632,1439.299431,NA,"em",21,905.2645156582,1256.59945731232,905.2645156582,1256.59945731232
"P0121-3","v",898.3469757,1382.380132,"P01","em","",53.122,151,NA,898.3469757,1382.380132,NA,"em",21,928.704131178681,1226.26650618684,928.704131178681,1226.26650618684
"P0122-1","v",885.9703203,1750.716087,"P01","em","",53.122,151,NA,885.9703203,1750.716087,NA,"em",22,919.960270655553,1409.46495047123,919.960270655553,1409.46495047123
"P0122-2","v",827.4436384,1754.822264,"P01","em","",53.122,151,NA,827.4436384,1754.822264,NA,"em",22,877.665928947821,1411.34801482887,877.665928947821,1411.34801482887
"P0122-3","v",867.7491208,1852.945784,"P01","em","",53.122,151,NA,867.7491208,1852.945784,NA,"em",22,906.962382026895,1455.43379950065,906.962382026895,1455.43379950065
"P0123-1","v",818.3390769,1735.522363,"P01","em","",53.122,151,NA,818.3390769,1735.522363,NA,"em",23,870.941189212155,1402.46967136932,870.941189212155,1402.46967136932
"P0123-2","v",849.0398102,1606.19472,"P01","em","",53.122,151,NA,849.0398102,1606.19472,NA,"em",23,893.458156585084,1341.09664770903,893.458156585084,1341.09664770903
"P0123-3","v",841.817471,1686.056821,"P01","em","",53.122,151,NA,841.817471,1686.056821,NA,"em",23,888.201449345302,1379.38930082325,888.201449345302,1379.38930082325
"P0124-1","v",874.4872671,1645.235657,"P01","em","",53.122,151,NA,874.4872671,1645.235657,NA,"em",24,911.786482222214,1359.97908179337,911.786482222214,1359.97908179337
"P0124-2","v",852.3921504,1684.228057,"P01","em","",53.122,151,NA,852.3921504,1684.228057,NA,"em",24,895.88980099887,1378.52686370329,895.88980099887,1378.52686370329
"P0124-3","v",862.4171876,1703.674497,"P01","em","",53.122,151,NA,862.4171876,1703.674497,NA,"em",24,903.1303266334,1387.66402442806,903.1303266334,1387.66402442806
"P0125-1","v",848.2073136,1767.268369,"P01","em","",53.122,151,NA,848.2073136,1767.268369,NA,"em",25,892.853483425183,1417.03652908565,892.853483425183,1417.03652908565
"P0125-2","v",797.1686843,1762.210956,"P01","em","",53.122,151,NA,797.1686843,1762.210956,NA,"em",25,855.147278892096,1414.72849831499,855.147278892096,1414.72849831499
"P0125-3","v",792.6585654,1753.760361,"P01","em","",53.122,151,NA,792.6585654,1753.760361,NA,"em",25,851.753712923632,1410.86133559044,851.753712923632,1410.86133559044
"P0126-1","v",739.2201209,1658.894257,"P01","em","",53.122,151,NA,739.2201209,1658.894257,NA,"em",26,810.74558133962,1366.5110215554,810.74558133962,1366.5110215554
"P0126-2","v",866.220281,1621.808171,"P01","em","",53.122,151,NA,866.220281,1621.808171,NA,"em",26,905.864940641821,1348.68628465677,905.864940641821,1348.68628465677
"P0126-3","v",963.8656153,1448.528607,"P01","em","",53.122,151,NA,963.8656153,1448.528607,NA,"em",26,973.892335834946,1261.44163040404,973.892335834946,1261.44163040404
"P0127-1","v",931.5926322,1577.126477,"P01","em","",53.122,151,NA,931.5926322,1577.126477,NA,"em",27,951.860471311514,1326.82880270976,951.860471311514,1326.82880270976
"P0127-2","v",969.4417874,1684.81583,"P01","em","",53.122,151,NA,969.4417874,1684.81583,NA,"em",27,977.655691622846,1378.80412700245,977.655691622846,1378.80412700245
"P0127-3","v",902.3393586,1577.988073,"P01","em","",53.122,151,NA,902.3393586,1577.988073,NA,"em",27,931.51023262409,1327.25432121075,931.51023262409,1327.25432121075
"P0128-1","v",709.8289881,1563.762489,"P01","em","",53.122,151,NA,709.8289881,1563.762489,NA,"em",28,787.537145704692,1320.20800194308,787.537145704692,1320.20800194308
"P0128-2","v",868.7559914,1511.264758,"P01","em","",53.122,151,NA,868.7559914,1511.264758,NA,"em",28,907.684555856312,1293.8156043916,907.684555856312,1293.8156043916
"P0128-3","v",906.5295346,1755.352068,"P01","em","",53.122,151,NA,906.5295346,1755.352068,NA,"em",28,934.447845815295,1411.59074982445,934.447845815295,1411.59074982445
"P0129-1","v",906.521325,1356.017567,"P01","em","",53.122,151,NA,906.521325,1356.017567,NA,"em",29,934.442097792679,1211.93554283766,934.442097792679,1211.93554283766
"P0129-2","v",880.2046357,1479.594816,"P01","em","",53.122,151,NA,880.2046357,1479.594816,NA,"em",29,915.863604978565,1277.58931107232,915.863604978565,1277.58931107232
"P0129-3","v",913.161115,1430.185226,"P01","em","",53.122,151,NA,913.161115,1430.185226,NA,"em",29,939.081435551028,1251.79706023302,939.081435551028,1251.79706023302
"P0130-1","v",940.8060172,1583.688759,"P01","em","",53.122,151,NA,940.8060172,1583.688759,NA,"em",30,958.194328008474,1330.06568406654,958.194328008474,1330.06568406654
"P0130-2","v",841.867291,1458.275565,"P01","em","",53.122,151,NA,841.867291,1458.275565,NA,"em",30,888.237794608615,1266.53293150519,888.237794608615,1266.53293150519
"P0130-3","v",832.3305673,1414.105772,"P01","em","",53.122,151,NA,832.3305673,1414.105772,NA,"em",30,881.258960919617,1243.27426029648,881.258960919617,1243.27426029648
"P0216-1","v",738.4024451,1466.113145,"P02","em","",31.87,94,"x",738.4024451,1466.113145,NA,"em",16,810.106345087202,1270.61022344398,810.106345087202,1270.61022344398
"P0216-2","v",766.9614341,1473.251278,"P02","em","",31.87,94,"x",766.9614341,1473.251278,NA,"em",16,832.220500412614,1274.31083051519,832.220500412614,1274.31083051519
"P0216-3","v",732.0092913,1487.883653,"P02","em","",31.87,94,"x",732.0092913,1487.883653,NA,"em",16,805.095791116363,1281.85881501685,805.095791116363,1281.85881501685
"P0217-1","v",725.4553753,1796.383504,"P02","em","",31.87,94,"x",725.4553753,1796.383504,NA,"em",17,799.935967754514,1430.23235402913,799.935967754514,1430.23235402913
"P0217-2","v",755.1301441,1720.177518,"P02","em","",31.87,94,"x",755.1301441,1720.177518,NA,"em",17,823.111835590873,1395.36038208474,823.111835590873,1395.36038208474
"P0217-3","v",747.2805155,1665.672909,"P02","em","",31.87,94,"x",747.2805155,1665.672909,NA,"em",17,817.027609020112,1369.73874027089,817.027609020112,1369.73874027089
"P0218-1","v",723.6161333,1591.076483,"P02","em","",31.87,94,"x",723.6161333,1591.076483,NA,"em",18,798.483690092482,1333.6986079438,798.483690092482,1333.6986079438
"P0218-2","v",742.8645873,1659.247664,"P02","em","",31.87,94,"x",742.8645873,1659.247664,NA,"em",18,813.59031434769,1366.67952866104,813.59031434769,1366.67952866104
"P0218-3","v",718.4048016,1619.150824,"P02","em","",31.87,94,"x",718.4048016,1619.150824,NA,"em",18,794.358575647603,1347.39816960173,794.358575647603,1347.39816960173
"P0219-1","v",724.9310353,1612.089711,"P02","em","",31.87,94,"x",724.9310353,1612.089711,NA,"em",19,799.52213646256,1343.96820031317,799.52213646256,1343.96820031317
"P0219-2","v",727.0149864,1543.140727,"P02","em","",31.87,94,"x",727.0149864,1543.140727,NA,"em",19,801.165979592321,1309.91446469765,801.165979592321,1309.91446469765
"P0219-3","v",739.2811961,1641.986905,"P02","em","",31.87,94,"x",739.2811961,1641.986905,NA,"em",19,810.793313658843,1358.41983404717,810.793313658843,1358.41983404717
"P0220-1","v",819.654341,1704.485675,"P02","em","",31.87,94,"x",819.654341,1704.485675,NA,"em",20,871.915147227063,1388.04355897381,871.915147227063,1388.04355897381
"P0220-2","v",790.3365754,1637.734978,"P02","em","",31.87,94,"x",790.3365754,1637.734978,NA,"em",20,850.002568530638,1356.37583849421,850.002568530638,1356.37583849421
"P0220-3","v",764.7924803,1631.138377,"P02","em","",31.87,94,"x",764.7924803,1631.138377,NA,"em",20,830.556180006838,1353.19733654117,830.556180006838,1353.19733654117
"P0221-1","v",813.9993737,1614.939481,"P02","em","",31.87,94,"x",813.9993737,1614.939481,NA,"em",21,867.721627729779,1345.35374869907,867.721627729779,1345.35374869907
"P0221-2","v",771.6652147,1548.041323,"P02","em","",31.87,94,"x",771.6652147,1548.041323,NA,"em",21,835.821450369168,1312.36918765945,835.821450369168,1312.36918765945
"P0221-3","v",825.2237232,1601.176776,"P02","em","",31.87,94,"x",825.2237232,1601.176776,NA,"em",21,876.029975094051,1338.64653071893,876.029975094051,1338.64653071893
"P0222-1","v",709.8889792,1902.252566,"P02","em","",31.87,94,"x",709.8889792,1902.252566,NA,"em",22,787.585008187649,1476.95114008554,787.585008187649,1476.95114008554
"P0222-2","v",707.7263518,1712.40309,"P02","em","",31.87,94,"x",707.7263518,1712.40309,NA,"em",22,785.858319054702,1391.74125540662,785.858319054702,1391.74125540662
"P0222-3","v",694.3729851,1669.475868,"P02","em","",31.87,94,"x",694.3729851,1669.475868,NA,"em",22,775.137582926694,1371.54550739161,775.137582926694,1371.54550739161
"P0223-1","v",746.8717062,1690.578192,"P02","em","",31.87,94,"x",746.8717062,1690.578192,NA,"em",23,816.70983859771,1381.518725524,816.70983859771,1381.518725524
"P0223-2","v",706.5760035,1668.913262,"P02","em","",31.87,94,"x",706.5760035,1668.913262,NA,"em",23,784.93877467119,1371.27839889117,784.93877467119,1371.27839889117
"P0223-3","v",719.7632511,1659.181572,"P02","em","",31.87,94,"x",719.7632511,1659.181572,NA,"em",23,795.435337089322,1366.64801741918,795.435337089322,1366.64801741918
"P0224-1","v",774.3228316,1539.045158,"P02","em","",31.87,94,"x",774.3228316,1539.045158,NA,"em",24,837.85088742225,1307.85886485676,837.85088742225,1307.85886485676
"P0224-2","v",760.8492251,1734.268565,"P02","em","",31.87,94,"x",760.8492251,1734.268565,NA,"em",24,827.52404817019,1401.89046765654,827.52404817019,1401.89046765654
"P0224-3","v",721.0770753,1621.02189,"P02","em","",31.87,94,"x",721.0770753,1621.02189,NA,"em",24,796.475747130166,1348.30529861136,796.475747130166,1348.30529861136
